record_id,true_label,lstm_prediction,lstm_confidence,lstm_category,mp_prediction,mp_confidence,mp_category
66,0,0,0.9967874884605408,High (≥0.8),0,0.9737630314206936,High (≥0.8)
154,0,0,0.994373619556427,High (≥0.8),0,0.9972160243898794,High (≥0.8)
231,0,0,0.994928240776062,High (≥0.8),0,0.9977871996853803,High (≥0.8)
285,0,0,0.9935221672058105,High (≥0.8),0,0.9968188634784325,High (≥0.8)
293,0,0,0.9945012331008911,High (≥0.8),0,0.8700728229393142,High (≥0.8)
325,0,0,0.9938658475875854,High (≥0.8),0,0.997035558443521,High (≥0.8)
333,0,0,0.9908887147903442,High (≥0.8),1,0.8297743226714116,High (≥0.8)
346,0,0,0.9934841394424438,High (≥0.8),0,0.9440736579455429,High (≥0.8)
384,0,0,0.9924958944320679,High (≥0.8),0,0.9974749190194949,High (≥0.8)
385,0,0,0.997330904006958,High (≥0.8),0,0.901152627422083,High (≥0.8)
397,0,0,0.9956971406936646,High (≥0.8),0,0.9974618852018848,High (≥0.8)
398,0,0,0.9928014278411865,High (≥0.8),0,0.9868481373280886,High (≥0.8)
581,0,0,0.9908657073974609,High (≥0.8),0,0.9793315034431882,High (≥0.8)
623,0,0,0.9968022108078003,High (≥0.8),0,0.9787024039465163,High (≥0.8)
768,1,0,0.9900180101394653,High (≥0.8),1,0.9574886206594848,High (≥0.8)
969,0,0,0.9960737824440002,High (≥0.8),0,0.9893579491656065,High (≥0.8)
970,0,0,0.9961303472518921,High (≥0.8),0,0.9872540934062167,High (≥0.8)
1010,0,0,0.9928196668624878,High (≥0.8),1,0.5410357845495272,Low (<0.6)
1019,0,0,0.9959255456924438,High (≥0.8),0,0.6216467644407793,Medium (0.6-0.8)
1027,0,0,0.9956955909729004,High (≥0.8),0,0.9635147749316574,High (≥0.8)
1082,0,0,0.9718203544616699,High (≥0.8),0,0.9808120944829597,High (≥0.8)
1213,0,0,0.9944667816162109,High (≥0.8),0,0.9969770565157726,High (≥0.8)
1234,0,0,0.9907042980194092,High (≥0.8),0,0.9391523085109319,High (≥0.8)
1248,0,0,0.9950392842292786,High (≥0.8),0,0.9977871996853803,High (≥0.8)
1280,0,0,0.9913864135742188,High (≥0.8),0,0.9749019941671683,High (≥0.8)
1368,0,0,0.9946929812431335,High (≥0.8),0,0.9845066308548693,High (≥0.8)
1409,0,0,0.9848712086677551,High (≥0.8),0,0.9695597451620226,High (≥0.8)
1449,0,0,0.9963359236717224,High (≥0.8),0,0.9941399377201842,High (≥0.8)
1475,0,0,0.993415355682373,High (≥0.8),0,0.9876021972621201,High (≥0.8)
